name,price,status,shipping,free_returns,items_sold
A Very Special Freakin Family Guy Christmas (DVD),325,Pre-Owned,399,True,
The Family Guy: Volume 7 (DVD) Disc 1 Episodes 1-5,499,Brand New,0,True,
Family Guy Volume 6 Disc 3 - **Replacement DISC ONLY WITH TRACKING**,292,Pre-Owned,0,False,
"Family Guy: Season 10 - DVD - Replacement Discs #1, or #3",314,Pre-Owned,375,True,
Family Guy: It's A Trap!  Seth MacFarlane,359,Pre-Owned,375,True,
"Family Guy, Volume Seven - 3 Disc DVD Set - Seth MacFarlane",449,Pre-Owned,375,True,
Family Guy - The Freakin' Sweet Collection,599,Pre-Owned,0,True,
"Family Guy, Volume Four - Replacement Disc #1 or #2",314,Pre-Owned,375,True,
FAMILY GUY SEASON 1 DISC 1 EPISODES 1 THROUGH 7 DISC ONLY ONLY,359,Pre-Owned,375,True,
Family Guy - The Freakin' Sweet Collection DVD (AMAZING DVD IN PERFECT CONDITION,460,New (Other),0,True,
Family Guy Presents Stewie Griffin The Untold Story DVD 2005 Brand NEW Sealed,199,Brand New,349,True,
"Family Guy: Part 3: Seasons 10-14 [New DVD] Dolby, Subtitled, Widescreen",2399,Brand New,0,False,
"Family Guy - Volume 2: Season 3 (DVD, 2003, 3-Disc Set) NEW",675,Brand New,0,True,
Family Guy: Freakin' Sweet Party Pack The Complete Collection [DVD] NEW SEALED,4999,Brand New,550,False,
"Family Guy Volume 2: Season 3 (DVD, 2000)",99,New (Other),349,False,
"Family Guy Presents Blue Harvest (DVD, Standard Edition)",499,New (Other),0,False,
FAMILY GUY PRESENTS BLUE HARVEST USED DVD,99,Pre-Owned,400,False,
"Family Guy - Volume 2: Season 3 & Vol 3 (DVD, 2003, 6-Disc Set)",199,Pre-Owned,500,True,
"Lot of Family Guy TV Volumes 1, 3 & 4 DVD Seth MacFarlane",850,Pre-Owned,416,True,
Lot of Family Guy - Volumes- 1 through 6 (DVDS+3 BONUS DVDS FREE SHIP,3834,New (Other),0,False,
Family Guy Volume 4: 3 Disc Set (DVD) ,539,Pre-Owned,375,True,
"Family Guy, Volume Nine [DVD]",524,Pre-Owned,0,False,
Family Guy Volume 3: Season 4 (DVD) Disc 1 B1,499,New (Other),0,False,
Family Guy Volume 4: Season 4 (DVD) Brand New! Sealed!,640,Brand New,0,False,
Family Guy: It's A Trap! - DVD By Carrie Fisher - VERY GOOD,595,Pre-Owned,0,False,
"Family Guy Volume 1: Seasons 1 & 2 (DVD, 1999)",750,Pre-Owned,0,False,
"Family Guy - The Freakin' Sweet Collection (DVD, 2004)",200,Pre-Owned,349,False,
Family Guy Volume Five DVD Limited Edition Collectors 3 Disc Set 2007 Target NEW,2288,Brand New,0,False,
"Family Guy Volume 4: Season 4 (DVD 3-Disc Set, 2006) - New Factory Sealed",500,Pre-Owned,349,False,
Family Guy: It's a Trap! (DVD) **Buy 4 Get 10 Free!**,500,Pre-Owned,0,False,
Family Guy: Season 10 - Vol. 11 (DVD),680,Pre-Owned,0,True,
Family Guy LOT of 4 DVDs,499,Pre-Owned,450,False,
"Family Guy Volume One, Seasons 1 & 2    4-Disc DVD  -  All 28 Episodes",499,Pre-Owned,349,False,
Family Guy | Volume 5 | DVD | 2007 | 3-Disc Set | ,449,Pre-Owned,375,True,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",623,Pre-Owned,943,True,
"Family Guy - Volume 1: Seasons 1 & 2 (DVD, 2004, 4-Disc Set)",1998,New (Other),645,True,
Family Guy Season 1 DVD Region 4 PAL Free Postage,512,Pre-Owned,2433,False,
Family Guy: Partial Terms of Endearment (DVD) BANNED FROM T V NEW SEALED,1200,Brand New,0,False,
"Family Guy : Season 3 (DVD, 2001)",64,Pre-Owned,1284,False,
FAMILY GUY PRESENTS BLUE HARVEST USED DVD,99,Pre-Owned,400,False,
The Dark Knight Trilogy DVD Box Set & Family Guy Volume One Season 1-2 - DVD Lot,1800,Pre-Owned,0,False,
The Family Guy Star Wars Trilogy (Blu-ray),1500,Pre-Owned,0,False,
The Family Guy - Volume 2 Season 3  -  *DVD*,599,Pre-Owned,0,True,
Family Guy Season 6 DVD Region 4 PAL Free Postage,512,Pre-Owned,2433,False,
"DVD : Family  Guy,  Blue Harvast free shipping ",1210,New (Other),0,False,
Family Guy Volume 4: Season 4 (DVD),99,Pre-Owned,399,False,
Family Guy Seasons 1-4 DVD Box Sets ,999,Pre-Owned,550,False,
Family Guy - Volume 8 | DVD | 2009 | Resurfaced,371,Pre-Owned,349,True,
"Family Guy Presents Stewie Griffin: The Untold Story (DVD, 2005, Uncensored)",399,New (Other),349,True,
"Family Guy: Part 1: Volumes 1-5 (DVD, 16-Disc Set) ~Brand New~",2500,Brand New,470,False,
"Family Guy: Something, Something, Something Darkside (DVD, 2009) NEW",587,Brand New,0,True,
"Family Guy Presents Stewie Griffin: The Untold Story (DVD, 2005, Uncensored)",988,Pre-Owned,349,False,
"Family Guy Volume 1: Seasons 1 & 2 (DVD, 1999) 28 Episode Lot",99,New (Other),575,False,
"Family Guy Presents Stewie Griffin: Untold Story (DVD, 2005)",399,New (Other),349,False,
Family Guy  DVD Volume 5 Disc 1 Episodes 1-6 Replacement Disc,539,Pre-Owned,349,True,
"Family Guy: Volume 9 (3DVD, 2011) w/ Slipcover",500,Pre-Owned,349,False,
